,neighbhood,nameAr,lat,lng,types,rating,user_ratings_total,delivery,dine_in,isLoved,schoolNum,companieNum,officeNum,HotelNum,parksNum,isSuccessful,neighbhood_id,CompNum
62,al maizilah,المعيزلة,24.7805349,46.8279298,Coffee,4,410,True,True,0,16,6,5,20,4,0,37,5
63,an nakhil,النخيل,24.7418486,46.64797129999999,Coffee,4,410,True,True,0,20,20,20,13,7,1,6,15
64,ar rimal,الرمال,24.8357279,46.7651839,Restaurants,4,409,True,True,0,20,6,4,10,1,0,120,5
65,al mishal,المشاعل,24.6246057,46.8802063,Restaurants,3,407,False,True,1,1,15,3,0,0,0,76,1
66,hittin,حطين,24.7505755,46.613007,Restaurants,4,237,True,True,1,10,17,8,6,3,0,15,20
67,as sulimaniyah,السليمانية,24.7080864,46.7115591,Coffee,4,405,False,True,0,20,20,13,16,3,0,18,8
68,at taawn,التعاون,24.7640128,46.7009587,Coffee,4,404,True,True,0,20,20,12,20,12,1,81,36
69,al muhammadiyah,المحمدية,24.7438059,46.6576716,Restaurants,3,238,True,True,1,20,20,20,17,11,1,74,15
70,al uraija al wusta,العريجاء الوسطى,24.6174056,46.64443989999999,Coffee,3,402,True,True,1,16,3,1,0,1,0,19,4
71,al mansurah,المنصورة,24.6008656,46.7442197,Coffee,3,238,False,True,1,20,14,18,20,2,0,26,24
72,ar rawdah,الروضة,24.7447651,46.7538306,Coffee,4,401,True,True,0,20,13,10,12,5,0,102,27
73,al uraija al gharbiyah,العريجاء الغربية,24.5857495,46.6124455,Coffee,4,239,True,True,1,20,10,10,7,3,0,54,8
74,ar rahmaniyah,الرحمانية,24.718852,46.656433,Coffee,3,240,True,True,1,18,19,13,11,5,1,120,19
75,dhahrat namar,ظهرة نمار,24.573216,46.634998,Coffee,4,400,True,True,0,20,8,5,9,6,0,104,24
76,an narjis,النرجس,24.8106687,46.6010348,Restaurants,3,397,True,True,0,15,20,20,12,3,1,48,24
77,ar rawdah,الروضة,24.7474921,46.7760521,Restaurants,3,244,True,True,1,20,15,10,7,8,0,76,26
78,an narjis,النرجس,24.8929118,46.6040155,Restaurants,4,397,True,True,0,18,15,7,1,0,0,63,10
79,ghirnatah,غرناطة,24.7943684,46.7427398,Restaurants,3,393,False,True,0,20,20,19,20,7,1,18,26
