,nameAr,neighbhood,nameEn,cityId,neCoordinates,swCoordinates
1610,الفيصلية,Al Faisaliyah,al faisaliyah,2256,"29.63551463,43.50225619","29.62868257,43.49482936"
1611,النموذجية جنوب,An Namudhajiyah Janub,an namudhajiyah janub,2256,"29.63088581,43.51242953","29.62431400,43.50644326"
1612,النموذجية شمال,An Namudhajiyah Shamal,an namudhajiyah shamal,2256,"29.63544280,43.51525312","29.62956946,43.50889352"
1613,الخالدية شمال,Al Khaldiyah Shamal,al khaldiyah shamal,2256,"29.63540736,43.51106909","29.63088581,43.50225619"
1614,الادارية,Al Idariyah,al idariyah,2256,"29.63983316,43.52321907","29.62667464,43.51242952"
1615,الصناعية,As Sinaiyah,as sinaiyah,2256,"29.63003104,43.54306621","29.61282999,43.52445451"
1616,الاسكان التنموي,Al Iskan At Tanmawi,al iskan at tanmawi,2256,"29.64846834,43.52321760","29.63974662,43.51524663"
1617,الملز,Al Malaz,al malaz,2256,"29.64763214,43.55231400","29.63379809,43.53471058"
1618,المحمدية,Al Muhammadiyah,al muhammadiyah,2256,"29.63481916,43.53139588","29.62374412,43.52006172"
1619,الروضة,Ar Rawdah,ar rawdah,2256,"29.64840653,43.53934147","29.63958846,43.52313976"
1620,اليرموك,Al Yarmuk,al yarmuk,2256,"29.62566043,43.55395391","29.60804605,43.53572475"
1621,الشمالي,Ash Shamali,ash shamali,2256,"29.64184637,43.56316471","29.62905055,43.54772432"
1622,الجميماء,Al Jumayma,al jumayma,2256,"29.63379809,43.55860500","29.62091736,43.54306621"
1623,المساعدية,Al Misadiyah,al misadiyah,2256,"29.62956940,43.52006172","29.62119337,43.50987577"
1624,العزيزية,Al Aziziyah,al aziziyah,2256,"29.62667464,43.52777658","29.61790560,43.51697337"
